58
 0 Amihari-Onsen
 1 Arayashinmachi
 2 Chusonji
 3 Dai-Onsen
 4 Genbikei
 5 Geto-Onsen
 6 Hachimantai
 7 Hachimantai-Chojo
 8 Hachinohe
 9 Hanamaki
10 Himekayu
11 Hiraizumi
12 Hosoura
13 Hottoyuda
14 Ichinoseki
15 Iwaizumi
16 Iwate-Funakoshi
17 Kamaishi
18 Kazuno-Hanawa
19 Kesennuma
20 Kindaichi-Onsen
21 Kitakami
22 Koiwai
23 Koiwai-Noujou
24 Kouma
25 Kuji
26 Miyako
27 Mizusawa
28 Mizusawa-Esashi
29 Moichi
30 Morioka
31 Ninohe
32 Numakunai
33 Obuke
34 Ofunato
35 Ohazama
36 Omagari
37 Omoto
38 Oushuku-Onsen
39 Rikuchu-Yagi
40 Rikuchu-Yamada
41 Rikuzen-Takata
42 Ryusendou
43 Sakari
44 Shin-Hanamaki
45 Shin-Namari-Onsen
46 Shizukuishi
47 Sukawa-Onsen
48 Surisawa
49 Takekoma
50 Taneichi
51 Tarou
52 Tazawako
53 Tono
54 Tsunagi-Onsen
55 Yokote
56 Yukawa-Onsen
57 Yumoto-Onsen
